N_cells,Pin_total_W_at_95pct,Iin_total_A,Pin_per_cell_W,Iin_per_cell_A,Pout_total_W,HV_current_A_at_336V,HV_voltage_contribution_per_cell_V_if_series,Pout_per_cell_W,effective_voltage_ratio_per_cell_no_gain_assist
1,2105.263157894737,175.43859649122808,2105.263157894737,175.43859649122808,2000.0,5.9523809523809526,336.0,2000.0,28.0
2,2105.263157894737,175.43859649122808,1052.6315789473686,87.71929824561404,2000.0,5.9523809523809526,168.0,1000.0,14.0
3,2105.263157894737,175.43859649122808,701.7543859649123,58.4795321637427,2000.0,5.9523809523809526,112.0,666.6666666666666,9.333333333333334
4,2105.263157894737,175.43859649122808,526.3157894736843,43.85964912280702,2000.0,5.9523809523809526,84.0,500.0,7.0
5,2105.263157894737,175.43859649122808,421.0526315789474,35.08771929824562,2000.0,5.9523809523809526,67.2,400.0,5.6000000000000005
6,2105.263157894737,175.43859649122808,350.87719298245617,29.23976608187135,2000.0,5.9523809523809526,56.0,333.3333333333333,4.666666666666667
